open_date,close_date,days_held,signal,sig_type,entry,exit,sl,tp,rr,lots,risk_usd,pnl,result,rsi,adx,atr,dist_ema9,dist_ema21,dist_sma20,confidence,equity_after,reason
2024-07-24,2024-07-25,1,LONG,TREND,2408.36,2357.06,2357.06,2510.96,2.0,0.1,500.0,-500.7,LOSS,59.8,42.3,34.2,0.08,0.53,0.78,69,24499.3,Trend LONG near EMA9 | RSI=59.8 ADX=42.3
2024-07-23,2024-08-16,24,LONG,TREND,2396.9,2502.56,2344.07,2502.56,2.0,0.09,500.0,999.37,WIN,62.0,42.5,35.22,0.43,0.24,0.55,69,25498.67,Trend LONG near EMA9 | RSI=62.0 ADX=42.5
2024-07-25,2024-08-16,22,LONG,TREND,2399.64,2507.16,2345.88,2507.16,2.0,0.09,489.99,979.35,WIN,57.8,42.7,35.84,0.26,0.24,0.36,69,26478.02,Trend LONG near EMA9 | RSI=57.8 ADX=42.7
2024-07-29,2024-08-16,18,LONG,TREND,2388.2,2495.87,2334.36,2495.87,2.0,0.09,489.99,979.35,WIN,55.5,38.1,35.89,0.26,0.01,-0.1,69,27457.37,Trend LONG near EMA9 | RSI=55.5 ADX=38.1
2024-10-11,2024-10-18,7,LONG,PULLBACK_EMA21,2629.4,2721.8,2583.2,2721.8,2.0,0.12,549.15,1097.46,WIN,51.8,30.7,30.8,0.12,0.5,0.08,82,28554.83,Pullback EMA21 uptrend | RSI=51.8 ADX=30.7
2024-10-15,2024-10-21,6,LONG,PULLBACK_EMA9,2646.98,2738.15,2601.39,2738.15,2.0,0.12,549.15,1097.46,WIN,47.3,28.8,30.39,0.24,0.87,0.43,74,29652.29,Pullback EMA9 strong uptrend | RSI=47.3 ADX=28.8
2024-10-14,2024-10-23,9,LONG,TREND,2657.22,2752.26,2609.7,2752.26,2.0,0.12,549.15,1097.46,WIN,56.7,30.0,31.68,0.61,1.24,0.84,69,30749.75,Trend LONG near EMA9 | RSI=56.7 ADX=30.0
2024-11-08,2024-11-11,3,LONG,PULLBACK_EMA21,2707.24,2650.35,2650.35,2821.03,2.0,0.11,614.99,-615.76,LOSS,47.9,38.4,37.93,0.37,0.02,-0.27,85,30133.99,Pullback EMA21 uptrend | RSI=47.9 ADX=38.4
2024-11-11,2024-11-12,1,LONG,TREND,2683.99,2626.71,2626.71,2798.56,2.0,0.11,602.68,-603.45,LOSS,45.0,36.3,38.19,0.78,0.57,-0.91,69,29530.54,Trend LONG near EMA9 | RSI=45.0 ADX=36.3
2025-02-27,2025-02-28,1,LONG,TREND,2916.69,2853.8,2853.8,3042.48,2.0,0.09,590.61,-591.24,LOSS,61.8,44.9,41.93,0.06,0.9,0.66,69,28939.3,Trend LONG near EMA9 | RSI=61.8 ADX=44.9
