open_date,close_date,days_held,signal,sig_type,entry,exit,sl,tp,rr,lots,risk_usd,pnl,result,rsi,adx,atr,equity_after,reason,confidence
2024-08-01,2024-08-05,4,LONG,TREND,2447.02,2391.32,2391.32,2558.41,2.0,0.09,500.0,-500.0,LOSS,55.8,32.4,37.13,24500.0,Triple EMA aligned UP | RSI=55.8 | ADX=32.4,80
2024-08-02,2024-08-05,3,LONG,TREND,2444.48,2388.26,2388.26,2556.92,2.0,0.09,500.0,-500.0,LOSS,55.8,30.8,37.48,24000.0,Triple EMA aligned UP | RSI=55.8 | ADX=30.8,80
2024-08-05,2024-08-07,2,LONG,TREND,2440.07,2380.8,2380.8,2558.6,2.0,0.08,480.0,-480.0,LOSS,53.4,28.0,39.51,23520.0,Triple EMA aligned UP | RSI=53.4 | ADX=28.0,75
2024-08-06,2024-09-12,37,LONG,PULLBACK,2409.72,2537.88,2345.64,2537.88,2.0,0.07,480.0,960.0,WIN,38.7,23.4,42.72,24480.0,Pullback to EMA9 in uptrend | RSI=38.7 reset,68
2024-10-17,2024-10-29,12,LONG,TREND,2673.26,2765.69,2627.05,2765.69,2.0,0.11,489.6,979.2,WIN,50.2,25.7,30.81,25459.2,Triple EMA aligned UP | RSI=50.2 | ADX=25.7,72
2024-10-22,2024-11-06,15,LONG,TREND,2719.54,2676.81,2676.81,2805.01,2.0,0.11,489.6,-489.6,LOSS,64.9,27.9,28.49,24969.6,Triple EMA aligned UP | RSI=64.9 | ADX=27.9,75
2024-10-24,2024-11-06,13,LONG,TREND,2715.71,2669.59,2669.59,2807.96,2.0,0.11,489.6,-489.6,LOSS,62.1,30.6,30.75,24480.0,Triple EMA aligned UP | RSI=62.1 | ADX=30.6,80
2025-03-04,2025-03-18,14,LONG,PULLBACK,2893.7,3018.62,2831.24,3018.62,2.0,0.08,489.6,979.2,WIN,49.2,34.5,41.64,25459.2,Pullback to EMA9 in uptrend | RSI=49.2 reset,68
2025-04-10,2025-04-16,6,LONG,TREND,3079.28,3261.26,2988.29,3261.26,2.0,0.06,509.18,1018.36,WIN,54.3,35.3,60.66,26477.56,Triple EMA aligned UP | RSI=54.3 | ADX=35.3,80
2025-04-25,2025-05-01,6,LONG,TREND,3347.51,3210.63,3210.63,3621.26,2.0,0.04,529.55,-529.55,LOSS,63.7,37.5,91.25,25948.01,Triple EMA aligned UP | RSI=63.7 | ADX=37.5,80
2025-05-07,2025-05-08,1,LONG,TREND,3430.14,3294.36,3294.36,3701.7,2.0,0.04,518.96,-518.96,LOSS,63.0,34.3,90.52,25429.05,Triple EMA aligned UP | RSI=63.0 | ADX=34.3,80
2025-04-24,2025-05-15,21,LONG,TREND,3289.13,3148.49,3148.49,3570.41,2.0,0.04,529.55,-529.55,LOSS,59.9,37.0,93.76,24899.5,Triple EMA aligned UP | RSI=59.9 | ADX=37.0,80
2026-01-06,2026-01-20,14,LONG,TREND,4448.38,4717.84,4313.65,4717.84,2.0,0.04,497.99,995.98,WIN,61.3,35.7,89.82,25895.48,Triple EMA aligned UP | RSI=61.3 | ADX=35.7,80
2026-01-15,2026-01-22,7,LONG,TREND,4620.71,4901.84,4480.15,4901.84,2.0,0.04,497.99,995.98,WIN,59.3,28.1,93.71,26891.46,Triple EMA aligned UP | RSI=59.3 | ADX=28.1,80
2026-02-05,2026-03-19,42,LONG,TREND,4963.32,4584.63,4584.63,5720.7,2.0,0.01,537.83,-537.83,LOSS,59.4,45.5,252.46,26353.63,Triple EMA aligned UP | RSI=59.4 | ADX=45.5,80
