open_date,close_date,days_held,signal,sig_type,entry,exit,sl,tp,rr,lots,risk_usd,pnl,result,rsi,adx,atr,dist_ema9,dist_sma20,equity_after,reason,confidence
2024-07-24,2024-07-25,1,LONG,TREND,2408.2,2356.9,2356.9,2510.8,2.0,0.1,500.0,-500.0,LOSS,59.8,42.3,34.2,0.08,0.78,24500.0,Trend LONG near EMA9 | not extended | RSI=59.8,69
2024-07-23,2024-08-16,24,LONG,TREND,2396.62,2502.28,2343.79,2502.28,2.0,0.09,500.0,1000.0,WIN,62.0,42.5,35.22,0.43,0.55,25500.0,Trend LONG near EMA9 | not extended | RSI=62.0,69
2024-07-25,2024-08-16,22,LONG,TREND,2399.43,2506.95,2345.67,2506.95,2.0,0.09,490.0,980.0,WIN,57.8,42.7,35.84,0.26,0.36,26480.0,Trend LONG near EMA9 | not extended | RSI=57.8,69
2024-07-29,2024-08-16,18,LONG,TREND,2388.01,2495.68,2334.17,2495.68,2.0,0.09,490.0,980.0,WIN,55.5,38.1,35.89,0.26,-0.1,27460.0,Trend LONG near EMA9 | not extended | RSI=55.5,69
2024-10-11,2024-10-18,7,LONG,PULLBACK_EMA9,2629.1,2721.5,2582.9,2721.5,2.0,0.12,549.2,1098.4,WIN,51.8,30.7,30.8,0.12,0.08,28558.4,Pullback to EMA9 in strong trend | RSI=51.8 | ADX=30.7,78
2024-10-15,2024-10-21,6,LONG,PULLBACK_EMA9,2646.65,2737.82,2601.06,2737.82,2.0,0.12,549.2,1098.4,WIN,47.3,28.8,30.39,0.24,0.43,29656.8,Pullback to EMA9 in strong trend | RSI=47.3 | ADX=28.8,74
2024-10-14,2024-10-23,9,LONG,TREND,2656.93,2751.97,2609.41,2751.97,2.0,0.12,549.2,1098.4,WIN,56.7,30.0,31.68,0.61,0.84,30755.2,Trend LONG near EMA9 | not extended | RSI=56.7,69
2024-11-08,2024-11-11,3,LONG,PULLBACK_EMA21,2707.07,2650.18,2650.18,2820.86,2.0,0.11,615.1,-615.1,LOSS,47.9,38.4,37.93,0.37,-0.27,30140.1,Pullback to EMA21 in uptrend | RSI=47.9 | ADX=38.4,85
2024-11-11,2024-11-12,1,LONG,TREND,2683.76,2626.48,2626.48,2798.33,2.0,0.11,602.8,-602.8,LOSS,45.0,36.3,38.19,0.78,-0.91,29537.3,Trend LONG near EMA9 | not extended | RSI=45.0,69
2025-02-27,2025-02-28,1,LONG,TREND,2916.53,2853.64,2853.64,3042.32,2.0,0.09,590.75,-590.75,LOSS,61.8,44.9,41.93,0.06,0.66,28946.55,Trend LONG near EMA9 | not extended | RSI=61.8,69
2025-03-04,2025-03-18,14,LONG,PULLBACK_EMA9,2893.7,3018.62,2831.24,3018.62,2.0,0.09,578.93,1157.86,WIN,49.2,34.5,41.64,0.13,-0.15,30104.41,Pullback to EMA9 in strong trend | RSI=49.2 | ADX=34.5,78
